adobe-source-code-pro-fonts 2.030ro+1.050it-5
ttf-go-mono-git r283.3fc05d4-1
ttf-go-sans-git r283.3fc05d4-1
ttf-hack 3.003-1
ttf-ibm-plex 4.0.2-1
ttf-inconsolata 1:2.0.0.1-3
ttf-input 20191031-1
ttf-iosevka 2.3.3-1
ttf-iosevka-slab 2.3.3-1
ttf-material-design-icons 3.0.1-1
ttf-merriweather 1:2.005-1
ttf-merriweather-sans 1.006-4
ttf-mplus TESTFLIGHT_063-1
ttf-opensans 1.101-1
ttf-roboto-fontconfig 2.000980-1
ttf-roboto-mono 2.002-3
ttf-roboto-slab 3:2.000-1
ttf-ubuntu-font-family 0.83-5
tumbler 0.2.8-1
ufw 0.36-3
unrar 1:5.8.5-1
unshield 1.4.3-1
unzip 6.0-13
usbutils 012-2
util-linux 2.35-1
vdpauinfo 1.3-1
vi 1:070224-4
vulkan-intel 19.3.2-2
vulkan-mesa-layer 19.3.2-2
vulkan-radeon 19.3.2-2
w3m 0.5.3.git20190105-1
wget 1.20.3-2
which 2.21-5
xclip 0.13-2
xdg-user-dirs-gtk 0.10+9+g5b7efc6-2
xdotool 3.20160805.1-2
xf86-video-amdgpu 19.1.0-1
xf86-video-intel 1:2.99.917+899+gf66d3954-1
xf86-video-vesa 2.4.0-2
xfsprogs 5.4.0-1
xorg-docs 1.7.1-2
xorg-fonts-100dpi 1.0.3-4
xorg-fonts-75dpi 1.0.3-4
xorg-iceauth 1.0.8-1
xorg-luit 1.1.1-3
xorg-server 1.20.7-1
xorg-server-common 1.20.7-1
xorg-server-devel 1.20.7-1
xorg-server-xephyr 1.20.7-1
xorg-server-xnest 1.20.7-1
xorg-server-xvfb 1.20.7-1
xorg-server-xwayland 1.20.7-1
xorg-sessreg 1.1.2-1
xorg-setxkbmap 1.3.2-1
xorg-smproxy 1.0.6-2
xorg-x11perf 1.6.1-1
xorg-xauth 1.1-1
xorg-xbacklight 1.2.3-1
xorg-xcmsdb 1.0.5-2
xorg-xcursorgen 1.0.7-1
xorg-xdpyinfo 1.3.2-3
xorg-xdriinfo 1.0.6-1
xorg-xev 1.2.3-1
xorg-xgamma 1.0.6-2
xorg-xhost 1.0.8-1
xorg-xinput 1.6.3-1
xorg-xkbcomp 1.4.2+7+g29fda8e-1
xorg-xkbevd 1.1.4-2
xorg-xkbutils 1.0.4-3
xorg-xkill 1.0.5-1
xorg-xlsatoms 1.1.3-1
xorg-xlsclients 1.1.4-1
xorg-xmodmap 1.0.10-1
xorg-xpr 1.0.5-1
xorg-xprop 1.2.4-1
xorg-xrandr 1.5.1-1
xorg-xrdb 1.2.0-1
xorg-xrefresh 1.0.6-1
xorg-xset 1.2.4-1
xorg-xsetroot 1.1.2-1
xorg-xvinfo 1.1.4-1
xorg-xwd 1.0.7-1
xorg-xwininfo 1.1.5-1
xorg-xwud 1.0.5-1
yay 9.4.4-1
youtube-dl 2020.01.15-1
zuki-themes 3.34_2-1
